AMOUNT,CNAME,DATE,TYPE,CURRENCY,DESCRIPTION,RNAME
44.0,Dining,2024-12-01,spending,HKD,Morning coffee,Starbucks
3000.0,Rent,2024-12-01,spending,HKD,Monthly rent,Landlord
1052.02,Shopping,2024-12-01,spending,HKD,Purchase - Apple Store,Apple Store
105.71,Transport,2024-12-01,spending,HKD,MTR,MTR
99.26,Transport,2024-12-02,spending,HKD,MTR,MTR
44.15,Dining,2024-12-03,spending,HKD,Morning coffee,Starbucks
127.93,Other,2024-12-03,spending,HKD,Convenience - 7-Eleven,7-Eleven
844.36,Shopping,2024-12-03,spending,HKD,Purchase - Uniqlo,Uniqlo
306.66,Dining,2024-12-04,spending,HKD,Food - Fuel Espresso,Fuel Espresso
118.57,Transport,2024-12-04,spending,HKD,HKTaxi,HKTaxi
41.71,Dining,2024-12-05,spending,HKD,Morning coffee,Starbucks
43.24,Dining,2024-12-05,spending,HKD,Morning coffee,Starbucks
93.27,Entertainment,2024-12-05,spending,HKD,Netflix subscription,Netflix
95.82,Transport,2024-12-05,spending,HKD,Uber,Uber
323.88,Dining,2024-12-06,spending,HKD,Food - Fuel Espresso,Fuel Espresso
46.17,Dining,2024-12-06,spending,HKD,Morning coffee,Starbucks
85.39,Transport,2024-12-06,spending,HKD,HKTaxi,HKTaxi
84.45,Transport,2024-12-07,spending,HKD,HKTaxi,HKTaxi
112.58,Transport,2024-12-07,spending,HKD,MTR,MTR
58.07,Entertainment,2024-12-08,spending,HKD,Spotify subscription,Spotify
456.73,Dining,2024-12-09,spending,HKD,Food - Keeta,Keeta
43.94,Dining,2024-12-09,spending,HKD,Morning coffee,Starbucks
40.31,Dining,2024-12-09,spending,HKD,Morning coffee,Starbucks
197.81,Shopping,2024-12-09,spending,HKD,late-night order - Taobao,Taobao
152.98,Transport,2024-12-09,spending,HKD,MTR,MTR
45.77,Dining,2024-12-10,spending,HKD,Morning coffee,Starbucks
298.72,Shopping,2024-12-10,spending,HKD,late-night order - Taobao,Taobao
251.99,Shopping,2024-12-11,spending,HKD,late-night order - Taobao,Taobao
280.64,Shopping,2024-12-11,spending,HKD,late-night order - Taobao,Taobao
96.36,Transport,2024-12-11,spending,HKD,HKTaxi,HKTaxi
40.29,Dining,2024-12-12,spending,HKD,Morning coffee,Starbucks
72.37,Entertainment,2024-12-12,spending,HKD,Disney+ subscription,Disney+
321.0,Shopping,2024-12-12,spending,HKD,late-night order - HKTVmall,HKTVmall
257.34,Shopping,2024-12-12,spending,HKD,late-night order - Taobao,Taobao
136.96,Transport,2024-12-12,spending,HKD,Uber,Uber
128.37,Transport,2024-12-12,spending,HKD,Uber,Uber
146.44,Other,2024-12-13,spending,HKD,Convenience - Circle K,Circle K
242.96,Other,2024-12-14,spending,HKD,Convenience - Circle K,Circle K
192.5,Shopping,2024-12-14,spending,HKD,late-night order - HKTVmall,HKTVmall
47.42,Dining,2024-12-15,spending,HKD,Morning coffee,Starbucks
43.65,Dining,2024-12-15,spending,HKD,Morning coffee,Starbucks
42.43,Dining,2024-12-17,spending,HKD,Morning coffee,Starbucks
87.03,Transport,2024-12-17,spending,HKD,Uber,Uber
504.81,Dining,2024-12-18,spending,HKD,Food - Foodpanda,Foodpanda
42.07,Dining,2024-12-18,spending,HKD,Morning coffee,Starbucks
40.94,Dining,2024-12-18,spending,HKD,Morning coffee,Starbucks
45.16,Dining,2024-12-18,spending,HKD,Morning coffee,Starbucks
78.17,Entertainment,2024-12-18,spending,HKD,YouTube Premium subscription,YouTube Premium
512.3,Dining,2024-12-20,spending,HKD,Food - % Arabica,% Arabica
343.96,Dining,2024-12-21,spending,HKD,Food - % Arabica,% Arabica
573.36,Shopping,2024-12-21,spending,HKD,Purchase - Taobao,Taobao
83.99,Transport,2024-12-21,spending,HKD,Uber,Uber
40.07,Dining,2024-12-22,spending,HKD,Morning coffee,Starbucks
57.66,Entertainment,2024-12-22,spending,HKD,Apple subscription,Apple
151.81,Other,2024-12-22,spending,HKD,Convenience - Circle K,Circle K
40.6,Dining,2024-12-23,spending,HKD,Morning coffee,Starbucks
46.19,Dining,2024-12-23,spending,HKD,Morning coffee,Starbucks
38.73,Dining,2024-12-24,spending,HKD,Morning coffee,Starbucks
137.41,Transport,2024-12-24,spending,HKD,Uber,Uber
46.43,Dining,2024-12-25,spending,HKD,Morning coffee,Starbucks
81.63,Transport,2024-12-25,spending,HKD,Uber,Uber
482.71,Dining,2024-12-26,spending,HKD,Food - % Arabica,% Arabica
230.87,Other,2024-12-26,spending,HKD,Convenience - Circle K,Circle K
930.25,Shopping,2024-12-26,spending,HKD,Purchase - HKTVmall,HKTVmall
121.34,Transport,2024-12-26,spending,HKD,HKTaxi,HKTaxi
587.29,Dining,2024-12-27,spending,HKD,Food - Keeta,Keeta
296.51,Dining,2024-12-27,spending,HKD,Food - Keeta,Keeta
425.76,Dining,2024-12-27,spending,HKD,Food - Pacific Coffee,Pacific Coffee
47.01,Dining,2024-12-29,spending,HKD,Morning coffee,Starbucks
42.08,Dining,2024-12-29,spending,HKD,Morning coffee,Starbucks
85.47,Transport,2024-12-29,spending,HKD,MTR,MTR
433.78,Dining,2024-12-30,spending,HKD,Food - Fuel Espresso,Fuel Espresso
105.09,Transport,2024-12-30,spending,HKD,Uber,Uber
491.0,Dining,2024-12-31,spending,HKD,Food - Keeta,Keeta
368.6,Dining,2024-12-31,spending,HKD,Food - Keeta,Keeta
44.32,Dining,2024-12-31,spending,HKD,Morning coffee,Starbucks
20000.0,Salary,2024-12-31,income,HKD,Monthly salary,Design Studio HK
128.59,Transport,2024-12-31,spending,HKD,Uber,Uber
153.01,Transport,2024-12-31,spending,HKD,Uber,Uber
759.74,Dining,2025-01-01,spending,HKD,Food - % Arabica,% Arabica
3000.0,Rent,2025-01-01,spending,HKD,Monthly rent,Landlord
73.46,Transport,2025-01-01,spending,HKD,MTR,MTR
760.26,Dining,2025-01-02,spending,HKD,Food - % Arabica,% Arabica
450.55,Dining,2025-01-02,spending,HKD,Food - Pacific Coffee,Pacific Coffee
87.14,Transport,2025-01-02,spending,HKD,HKTaxi,HKTaxi
119.1,Transport,2025-01-03,spending,HKD,MTR,MTR
117.32,Transport,2025-01-03,spending,HKD,Uber,Uber
716.22,Dining,2025-01-04,spending,HKD,Food - Fuel Espresso,Fuel Espresso
71.22,Transport,2025-01-04,spending,HKD,HKTaxi,HKTaxi
120.22,Transport,2025-01-04,spending,HKD,MTR,MTR
42.93,Dining,2025-01-05,spending,HKD,Morning coffee,Starbucks
44.86,Dining,2025-01-05,spending,HKD,Morning coffee,Starbucks
92.5,Entertainment,2025-01-05,spending,HKD,Netflix subscription,Netflix
118.64,Transport,2025-01-05,spending,HKD,MTR,MTR
43.81,Dining,2025-01-06,spending,HKD,Morning coffee,Starbucks
273.29,Other,2025-01-06,spending,HKD,Convenience - Circle K,Circle K
41.34,Dining,2025-01-07,spending,HKD,Morning coffee,Starbucks
42.57,Dining,2025-01-08,spending,HKD,Morning coffee,Starbucks
57.58,Entertainment,2025-01-08,spending,HKD,Spotify subscription,Spotify
60.6,Transport,2025-01-08,spending,HKD,HKTaxi,HKTaxi
63.67,Transport,2025-01-08,spending,HKD,Uber,Uber
38.6,Dining,2025-01-09,spending,HKD,Morning coffee,Starbucks
43.24,Dining,2025-01-09,spending,HKD,Morning coffee,Starbucks
249.1,Other,2025-01-09,spending,HKD,Convenience - 7-Eleven,7-Eleven
71.89,Transport,2025-01-09,spending,HKD,Uber,Uber
190.65,Other,2025-01-10,spending,HKD,Convenience - ATM,ATM
41.85,Dining,2025-01-12,spending,HKD,Morning coffee,Starbucks
73.52,Entertainment,2025-01-12,spending,HKD,Disney+ subscription,Disney+
114.57,Transport,2025-01-12,spending,HKD,HKTaxi,HKTaxi
79.51,Transport,2025-01-12,spending,HKD,HKTaxi,HKTaxi
371.77,Dining,2025-01-13,spending,HKD,Food - Keeta,Keeta
42.96,Dining,2025-01-13,spending,HKD,Morning coffee,Starbucks
41.32,Dining,2025-01-13,spending,HKD,Morning coffee,Starbucks
40.81,Dining,2025-01-13,spending,HKD,Morning coffee,Starbucks
1257.59,Shopping,2025-01-13,spending,HKD,Purchase - ZARA,ZARA
186.96,Other,2025-01-14,spending,HKD,Convenience - ATM,ATM
46.13,Dining,2025-01-16,spending,HKD,Morning coffee,Starbucks
43.62,Dining,2025-01-16,spending,HKD,Morning coffee,Starbucks
96.14,Transport,2025-01-16,spending,HKD,MTR,MTR
104.79,Transport,2025-01-16,spending,HKD,Uber,Uber
47.12,Dining,2025-01-17,spending,HKD,Morning coffee,Starbucks
1109.69,Shopping,2025-01-17,spending,HKD,Purchase - HKTVmall,HKTVmall
109.47,Transport,2025-01-17,spending,HKD,MTR,MTR
86.54,Transport,2025-01-17,spending,HKD,Uber,Uber
78.45,Entertainment,2025-01-18,spending,HKD,YouTube Premium subscription,YouTube Premium
547.37,Dining,2025-01-19,spending,HKD,Food - Pacific Coffee,Pacific Coffee
38.98,Dining,2025-01-20,spending,HKD,Morning coffee,Starbucks
107.13,Transport,2025-01-20,spending,HKD,MTR,MTR
100.97,Transport,2025-01-21,spending,HKD,HKTaxi,HKTaxi
547.26,Dining,2025-01-22,spending,HKD,Food - Keeta,Keeta
58.84,Entertainment,2025-01-22,spending,HKD,Apple subscription,Apple
1243.64,Shopping,2025-01-23,spending,HKD,Purchase - Taobao,Taobao
100.85,Transport,2025-01-23,spending,HKD,Uber,Uber
39.13,Dining,2025-01-25,spending,HKD,Morning coffee,Starbucks
40.3,Dining,2025-01-26,spending,HKD,Morning coffee,Starbucks
73.2,Transport,2025-01-26,spending,HKD,MTR,MTR
72.41,Transport,2025-01-26,spending,HKD,Uber,Uber
83.64,Transport,2025-01-27,spending,HKD,HKTaxi,HKTaxi
598.24,Dining,2025-01-29,spending,HKD,Food - Keeta,Keeta
42.26,Dining,2025-01-29,spending,HKD,Morning coffee,Starbucks
702.3,Shopping,2025-01-29,spending,HKD,Purchase - Apple Store,Apple Store
886.79,Shopping,2025-01-29,spending,HKD,Purchase - Uniqlo,Uniqlo
436.14,Dining,2025-01-30,spending,HKD,Food - Foodpanda,Foodpanda
47.25,Dining,2025-01-30,spending,HKD,Morning coffee,Starbucks
60.79,Transport,2025-01-30,spending,HKD,HKTaxi,HKTaxi
106.72,Transport,2025-01-30,spending,HKD,HKTaxi,HKTaxi
472.43,Dining,2025-01-31,spending,HKD,Food - Fuel Espresso,Fuel Espresso
39.59,Dining,2025-01-31,spending,HKD,Morning coffee,Starbucks
20000.0,Salary,2025-01-31,income,HKD,Monthly salary,Design Studio HK
46.23,Dining,2025-02-01,spending,HKD,Morning coffee,Starbucks
134.75,Other,2025-02-01,spending,HKD,Convenience - ATM,ATM
3000.0,Rent,2025-02-01,spending,HKD,Monthly rent,Landlord
110.97,Transport,2025-02-01,spending,HKD,Uber,Uber
634.81,Dining,2025-02-02,spending,HKD,Food - Pacific Coffee,Pacific Coffee
39.7,Dining,2025-02-02,spending,HKD,Morning coffee,Starbucks
45.96,Dining,2025-02-03,spending,HKD,Morning coffee,Starbucks
38.34,Dining,2025-02-03,spending,HKD,Morning coffee,Starbucks
44.42,Dining,2025-02-03,spending,HKD,Morning coffee,Starbucks
1107.11,Shopping,2025-02-03,spending,HKD,Purchase - HKTVmall,HKTVmall
99.17,Transport,2025-02-03,spending,HKD,HKTaxi,HKTaxi
119.4,Transport,2025-02-03,spending,HKD,Uber,Uber
561.51,Dining,2025-02-04,spending,HKD,Food - Keeta,Keeta
113.52,Other,2025-02-04,spending,HKD,Convenience - ATM,ATM
118.54,Transport,2025-02-04,spending,HKD,MTR,MTR
585.2,Dining,2025-02-05,spending,HKD,Food - Pacific Coffee,Pacific Coffee
39.52,Dining,2025-02-05,spending,HKD,Morning coffee,Starbucks
42.88,Dining,2025-02-05,spending,HKD,Morning coffee,Starbucks
92.06,Entertainment,2025-02-05,spending,HKD,Netflix subscription,Netflix
77.18,Transport,2025-02-05,spending,HKD,HKTaxi,HKTaxi
38.92,Dining,2025-02-06,spending,HKD,Morning coffee,Starbucks
77.41,Transport,2025-02-06,spending,HKD,HKTaxi,HKTaxi
99.0,Transport,2025-02-06,spending,HKD,HKTaxi,HKTaxi
407.4,Dining,2025-02-07,spending,HKD,Food - Fuel Espresso,Fuel Espresso
41.97,Dining,2025-02-07,spending,HKD,Morning coffee,Starbucks
45.14,Dining,2025-02-08,spending,HKD,Morning coffee,Starbucks
58.88,Entertainment,2025-02-08,spending,HKD,Spotify subscription,Spotify
43.22,Dining,2025-02-09,spending,HKD,Morning coffee,Starbucks
104.37,Transport,2025-02-09,spending,HKD,HKTaxi,HKTaxi
112.83,Transport,2025-02-09,spending,HKD,HKTaxi,HKTaxi
87.06,Transport,2025-02-09,spending,HKD,Uber,Uber
44.44,Dining,2025-02-10,spending,HKD,Morning coffee,Starbucks
1051.49,Shopping,2025-02-10,spending,HKD,Purchase - Uniqlo,Uniqlo
115.67,Transport,2025-02-10,spending,HKD,MTR,MTR
1458.13,Shopping,2025-02-11,spending,HKD,Purchase - Apple Store,Apple Store
558.58,Dining,2025-02-12,spending,HKD,Food - Foodpanda,Foodpanda
38.97,Dining,2025-02-12,spending,HKD,Morning coffee,Starbucks
73.07,Entertainment,2025-02-12,spending,HKD,Disney+ subscription,Disney+
114.37,Transport,2025-02-12,spending,HKD,MTR,MTR
74.68,Transport,2025-02-12,spending,HKD,MTR,MTR
85.3,Transport,2025-02-12,spending,HKD,MTR,MTR
365.52,Dining,2025-02-13,spending,HKD,Food - Pacific Coffee,Pacific Coffee
113.85,Other,2025-02-13,spending,HKD,Convenience - ATM,ATM
123.28,Transport,2025-02-13,spending,HKD,MTR,MTR
729.36,Dining,2025-02-14,spending,HKD,Food - Fuel Espresso,Fuel Espresso
44.51,Dining,2025-02-15,spending,HKD,Morning coffee,Starbucks
122.46,Transport,2025-02-15,spending,HKD,HKTaxi,HKTaxi
412.29,Dining,2025-02-16,spending,HKD,Food - Keeta,Keeta
38.85,Dining,2025-02-16,spending,HKD,Morning coffee,Starbucks
38.07,Dining,2025-02-16,spending,HKD,Morning coffee,Starbucks
109.18,Transport,2025-02-16,spending,HKD,Uber,Uber
642.1,Dining,2025-02-17,spending,HKD,Food - Keeta,Keeta
44.74,Dining,2025-02-17,spending,HKD,Morning coffee,Starbucks
44.44,Dining,2025-02-17,spending,HKD,Morning coffee,Starbucks
595.23,Dining,2025-02-18,spending,HKD,Food - % Arabica,% Arabica
42.62,Dining,2025-02-18,spending,HKD,Morning coffee,Starbucks
78.74,Entertainment,2025-02-18,spending,HKD,YouTube Premium subscription,YouTube Premium
71.83,Transport,2025-02-18,spending,HKD,HKTaxi,HKTaxi
45.01,Dining,2025-02-19,spending,HKD,Morning coffee,Starbucks
109.99,Other,2025-02-19,spending,HKD,Convenience - Circle K,Circle K
154.16,Other,2025-02-20,spending,HKD,Convenience - 7-Eleven,7-Eleven
1583.26,Shopping,2025-02-21,spending,HKD,Purchase - HKTVmall,HKTVmall
125.54,Transport,2025-02-21,spending,HKD,HKTaxi,HKTaxi
57.22,Entertainment,2025-02-22,spending,HKD,Apple subscription,Apple
61.98,Transport,2025-02-22,spending,HKD,HKTaxi,HKTaxi
46.7,Dining,2025-02-23,spending,HKD,Morning coffee,Starbucks
165.6,Other,2025-02-23,spending,HKD,Convenience - ATM,ATM
108.13,Other,2025-02-24,spending,HKD,Convenience - 7-Eleven,7-Eleven
43.73,Dining,2025-02-26,spending,HKD,Morning coffee,Starbucks
38.84,Dining,2025-02-26,spending,HKD,Morning coffee,Starbucks
46.9,Dining,2025-02-26,spending,HKD,Morning coffee,Starbucks
117.87,Transport,2025-02-26,spending,HKD,HKTaxi,HKTaxi
71.91,Transport,2025-02-26,spending,HKD,Uber,Uber
20000.0,Salary,2025-02-28,income,HKD,Monthly salary,Design Studio HK
131.11,Other,2025-03-01,spending,HKD,Convenience - ATM,ATM
3000.0,Rent,2025-03-01,spending,HKD,Monthly rent,Landlord
100.81,Transport,2025-03-01,spending,HKD,Uber,Uber
124.54,Transport,2025-03-02,spending,HKD,MTR,MTR
360.25,Dining,2025-03-03,spending,HKD,Food - Pacific Coffee,Pacific Coffee
156.18,Other,2025-03-04,spending,HKD,Convenience - Circle K,Circle K
106.38,Transport,2025-03-04,spending,HKD,Uber,Uber
92.31,Entertainment,2025-03-05,spending,HKD,Netflix subscription,Netflix
167.51,Other,2025-03-05,spending,HKD,Convenience - Circle K,Circle K
467.33,Dining,2025-03-06,spending,HKD,Food - % Arabica,% Arabica
606.25,Dining,2025-03-06,spending,HKD,Food - Foodpanda,Foodpanda
124.97,Transport,2025-03-06,spending,HKD,HKTaxi,HKTaxi
112.71,Transport,2025-03-07,spending,HKD,MTR,MTR
101.81,Transport,2025-03-07,spending,HKD,Uber,Uber
57.85,Entertainment,2025-03-08,spending,HKD,Spotify subscription,Spotify
128.76,Transport,2025-03-08,spending,HKD,Uber,Uber
477.71,Dining,2025-03-09,spending,HKD,Food - % Arabica,% Arabica
567.44,Dining,2025-03-09,spending,HKD,Food - Fuel Espresso,Fuel Espresso
646.95,Dining,2025-03-09,spending,HKD,Food - Pacific Coffee,Pacific Coffee
638.32,Dining,2025-03-10,spending,HKD,Food - Keeta,Keeta
115.03,Other,2025-03-11,spending,HKD,Convenience - Circle K,Circle K
73.72,Entertainment,2025-03-12,spending,HKD,Disney+ subscription,Disney+
118.07,Transport,2025-03-14,spending,HKD,Uber,Uber
72.96,Transport,2025-03-14,spending,HKD,Uber,Uber
128.3,Transport,2025-03-16,spending,HKD,HKTaxi,HKTaxi
